Timestamp,State of Residence ,Geo-Pol Zone (place of residence),What SIM Do You Use?,What Network Type is Your Sim?,Do You Make Calls?,"If Yes, How Strong is The Network in Your Area?",Do You Send Text Messages?,"If Yes, How Strong is The Network in Your Area?",Do You Browse The Internet?,"If Yes, How Strong is The Network in Your Area?","On a Scale of 0 to 5, Rate The Quality of Service You Experience While Using This Particular SIM.",Kindly Give a Quick Comment On This SIM's Quality of Service (Please Do Express Yourself Clearly).
2022/07/13 9:01:48 AM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,4,Yes,3,3,"It's becoming very difficult to access network in my area, it's frustrating"
2022/07/13 9:03:43 AM GMT+1,Lagos,South West,Airtel,4G,Yes,4,Yes,5,Yes,5,4,"They are improving Alot, even when there's a storm, one can still access the internet comfortably. "
2022/07/13 9:24:48 AM GMT+1,Oyo,South West,MTN,4G,Yes,4,Yes,4,Yes,3,3,It is adequate.
2022/07/13 9:24:51 AM GMT+1,Lagos,South West,Airtel,4G,Yes,4,Yes,4,Yes,4,4,It's does good most times 
2022/07/13 9:29:05 AM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,3,3,"Not really enjoying the value of what I invest in my network, network failure at some point, and slow network at another point, sometimes it is okay, but never at the best"
2022/07/13 9:30:17 AM GMT+1,Osun,South West,MTN,3G,Yes,5,Yes,5,Yes,3,3,Using MTN network for Messages and call at my area is good but the 3G network is not okay. It do fluctuate 
2022/07/13 9:31:02 AM GMT+1,Lagos,South West,Globacom,4G,No,3,Yes,4,Yes,2,3,"Over the years, the quality has really been dwindling
"
2022/07/13 9:32:29 AM GMT+1,Osun,South West,MTN,3G,Yes,4,Yes,4,Yes,4,4,"The network is just cool over there, when there's no rainfall tho"
2022/07/13 9:33:48 AM GMT+1,Ondo,South West,MTN,3G,Yes,4,Yes,4,Yes,3,3,Okay 
2022/07/13 9:36:05 AM GMT+1,Osun,South West,Airtel,4G,Yes,4,No,4,Yes,4,4,"Airtel data network is good
But it do give me issues when calling "
2022/07/13 9:37:20 AM GMT+1,Ondo,South West,MTN,3G,Yes,2,Yes,2,Yes,2,2,"MTN is not that okay here.
Especially inside FUTA. It's worst."
2022/07/13 9:40:29 AM GMT+1,Osun,South West,Airtel,3G,Yes,5,Yes,5,Yes,5,5,Airtel is just good.
2022/07/13 9:45:02 AM GMT+1,Lagos,South West,MTN,3G,Yes,3,Yes,5,Yes,3,3,Bad network
2022/07/13 9:46:29 AM GMT+1,Lagos,South West,Airtel,3G,Yes,2,Yes,4,Yes,1,3,Very poor network
2022/07/13 9:48:05 AM GMT+1,Ondo,South West,Airtel,3G,Yes,5,Yes,5,Yes,5,5,Airtel is good.
2022/07/13 9:51:44 AM GMT+1,Ondo,South West,Globacom,4G,Yes,3,Yes,3,Yes,3,3,It's not good but not that bad
2022/07/13 9:57:12 AM GMT+1,Lagos,South West,Airtel,4G,Yes,4,Yes,5,Yes,4,3,Opening a new app will require that I flip the switch of mobile data. Unless I am using a mifi router. 
2022/07/13 9:57:12 AM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,4,4,"The network service is okay, I don't experience much lags or issues when making calls or sending text messages. When using my internet, it's not too bad either. Overall, the network is stable"
2022/07/13 9:58:25 AM GMT+1,Ondo,South West,9mobile,4G,Yes,1,Yes,1,Yes,1,0,The service is quite terrible generally in this area compare to other network 
2022/07/13 11:30:04 AM GMT+1,Oyo,South West,MTN,4G,Yes,4,No,3,Yes,3,3,Manageable 
2022/07/13 3:28:13 PM GMT+1,Ondo,South West,MTN,4G,Yes,3,Yes,4,Yes,3,2,It's been on an average. 
2022/07/13 6:18:52 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,4,4,"The network is efficient, it only when rain falls or weather is cloudy the the network is always affected."
2022/07/13 8:16:37 PM GMT+1,Ondo,South West,MTN,3G,Yes,3,Yes,4,Yes,3,3,"It's a bit above average, just terrible when there is service congestion but aside that it is very good."
2022/07/13 8:18:13 PM GMT+1,Ondo,South West,MTN,4G,Yes,4,No,,Yes,3,3,.
2022/07/13 8:42:26 PM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,"It’s not bad, it can be better "
2022/07/13 9:25:59 PM GMT+1,Ondo,South West,MTN,4G,Yes,3,Yes,4,Yes,2,3,The service is always poor when it's rainy
2022/07/13 9:46:35 PM GMT+1,Lagos,South West,Airtel,4G,Yes,4,Yes,4,Yes,4,3,Good 
2022/07/13 10:26:46 PM GMT+1,Benue,North Central,MTN,4G,Yes,4,Yes,4,Yes,3,4,Basically my sim gets me through my internet  needs and makes calls clearly 
2022/07/14 1:53:57 AM GMT+1,Ondo,South West,Airtel,4G,Yes,4,Yes,4,No,,3,"Well, the network seems fair considering the things I use it for."
2022/07/14 8:33:09 AM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,3,3,It’s Nice but I will love their network be evenly sufficient in all areas 
2022/07/14 8:48:48 AM GMT+1,Ekiti,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,It’s better but needed to be evenly distributed across all areas  
2022/07/14 8:50:20 AM GMT+1,Ogun,South West,MTN,4G,Yes,3,Yes,4,Yes,1,1,The network is very poor even with the 4g
2022/07/14 9:09:34 AM GMT+1,Oyo,South West,9mobile,4G,Yes,3,Yes,4,Yes,3,3,Average network quality.
2022/07/14 9:12:17 AM GMT+1,Oyo,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,Satisfactory network quality.
2022/07/14 9:41:44 AM GMT+1,Edo,South South,MTN,4G,Yes,5,Yes,5,Yes,4,5,Top notch 
2022/07/14 9:48:27 AM GMT+1,Ondo,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,Thanks 
2022/07/14 9:53:22 AM GMT+1,Abuja,North Central,MTN,4G,Yes,4,Yes,5,Yes,4,4,The quality of service is great
2022/07/14 10:01:15 AM GMT+1,Delta,South South,MTN,4G,Yes,3,Yes,3,Yes,3,3,It's a good experience simple and easy to understand 
2022/07/14 10:03:41 AM GMT+1,Edo,South South,MTN,4G,Yes,5,Yes,5,Yes,4,4,"Excellent, but at times it fluctuates "
2022/07/14 10:33:08 AM GMT+1,Ogun,South West,Airtel,3G,Yes,4,Yes,4,Yes,3,4,"The SIM's quality of service fluctuates. For example, it's internet connection service stays strong sometimes, and some other times, it's abysmal"
2022/07/14 11:00:23 AM GMT+1,Ondo,South West,MTN,4G,Yes,3,Yes,4,Yes,4,3,Good
2022/07/14 11:02:57 AM GMT+1,Ogun,South West,Globacom,3G,Yes,3,Yes,3,Yes,3,2,The network is sometimes frustrating 
2022/07/14 11:47:37 AM GMT+1,Ogun,South West,Globacom,3G,Yes,4,Yes,4,Yes,5,4,"The network is great, but they usually have hitches especially when rain falls"
2022/07/14 12:32:43 PM GMT+1,Ogun,South West,MTN,4G,No,,Yes,4,Yes,3,4,"It has always been quite okay, until recently."
2022/07/14 2:46:03 PM GMT+1,Oyo,South West,MTN,4G,Yes,3,Yes,3,Yes,3,3,Just want more quality 
2022/07/14 2:47:47 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,4,4,MTN performs very well in my location 
2022/07/14 2:49:57 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,3,4,I only have issues with the internet provider. It is sometimes slow especially when rain falls
2022/07/14 4:01:19 PM GMT+1,Anambra,South East,Airtel,4G,Yes,4,Yes,4,Yes,4,4,Good 
2022/07/14 4:48:17 PM GMT+1,Ondo,South West,MTN,4G,Yes,5,Yes,5,Yes,3,5,It hurts to see and know that MTN of south Africa is better than GLO Nigeria and other network combined....
2022/07/14 7:07:55 PM GMT+1,Anambra,South East,MTN,4G,Yes,4,Yes,4,Yes,4,4,Mtn has a very good network stability everywhere you go but their services are costly.
2022/07/14 7:24:48 PM GMT+1,Ondo,South West,Globacom,4G,Yes,4,Yes,5,Yes,3,3,The network here is not good
2022/07/14 7:26:28 PM GMT+1,Delta,South South,Airtel,3G,Yes,4,Yes,4,Yes,4,4,It's excellent
2022/07/14 7:36:23 PM GMT+1,Delta,South South,Globacom,4G,Yes,3,Yes,4,Yes,3,3,It has a slow browsing rate
2022/07/14 7:37:21 PM GMT+1,Delta,South South,MTN,4G,Yes,3,Yes,3,Yes,3,3,It's a nice networking service but till need some improvement 
2022/07/14 7:37:21 PM GMT+1,Delta,South South,MTN,4G,Yes,4,Yes,4,Yes,5,5,Very Strong network
2022/07/14 7:37:51 PM GMT+1,Akwa-Ibom,South South,9mobile,3G,Yes,2,Yes,2,Yes,1,1,9mobile is the wrost sim... 
2022/07/14 7:44:32 PM GMT+1,Enugu,South East,Globacom,4G,Yes,4,Yes,4,Yes,4,4,Glo network is Good here in Enugu(Akpugo) but if it's raining or windy network becomes bad.
2022/07/14 7:47:17 PM GMT+1,Anambra,South East,Airtel,4G,Yes,4,Yes,4,Yes,4,3,Very satisfying 
2022/07/14 7:48:06 PM GMT+1,Enugu,South East,MTN,4G,Yes,3,Yes,3,Yes,3,4,Umm... It's a nice ISP network
2022/07/14 7:59:36 PM GMT+1,Enugu,South East,MTN,4G,Yes,3,Yes,3,Yes,3,3,Its quite good but  network is not always there. It comes and at times it goes making it difficult to access the internet or rather for other things.
2022/07/14 8:06:27 PM GMT+1,Delta,South South,MTN,3G,Yes,3,Yes,3,Yes,3,3,Not bad
2022/07/14 8:22:20 PM GMT+1,Oyo,South West,MTN,3G,Yes,3,Yes,4,Yes,2,3,not too good 
2022/07/14 8:39:07 PM GMT+1,Lagos,South West,Globacom,4G,Yes,3,Yes,5,Yes,4,4,The network needs to do more in customer relation. Imagine not having network for a while and the company is acting like nothing happened 
2022/07/14 9:37:29 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,5,4,"The quality of service is good, but once in a while, the network becomes really frustrating and sometimes i have to restart my device over and over "
2022/07/14 9:46:09 PM GMT+1,Abuja,North Central,Airtel,4G,Yes,4,Yes,5,Yes,4,4,"It's one of the best Subscriber identification module in Africa.

But they need to upgrade on thier data policy"
2022/07/14 9:58:29 PM GMT+1,Enugu,South East,Airtel,3G,Yes,3,Yes,3,Yes,3,3,The quality of service is good
2022/07/14 10:01:04 PM GMT+1,Delta,South South,MTN,3G,Yes,3,Yes,4,Yes,3,3,"Well, apart from the fact that I've been using a lot of data lately even when I don't see what I am using it for. MTN is most likely everywhere and I get to use it even if it's ain't so good at some place but it's quite manageable."
2022/07/14 10:43:42 PM GMT+1,Ondo,South West,MTN,4G,Yes,3,Yes,4,Yes,3,4,Still need to do more
2022/07/14 10:56:56 PM GMT+1,Delta,South South,MTN,4G,Yes,4,Yes,4,Yes,4,4,It fast & reliable
2022/07/14 10:59:07 PM GMT+1,Delta,South South,MTN,4G,Yes,4,Yes,4,Yes,4,4,Fast and reliable
2022/07/14 11:10:31 PM GMT+1,Ondo,South West,MTN,4G,Yes,3,Yes,4,Yes,4,4,Still needs to do more
2022/07/15 5:24:03 AM GMT+1,Delta,South West,MTN,4G,Yes,4,Yes,5,Yes,4,4,It's okay
2022/07/15 5:55:13 AM GMT+1,Ondo,South West,MTN,4G,Yes,4,No,,Yes,5,5,I browse the internet more than I actually make calls so I'd say this network service is very good cause internet connection is fafast
2022/07/15 6:32:23 AM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,It’s efficient and reliable 
2022/07/15 9:58:03 AM GMT+1,Lagos,South West,Airtel,4G,Yes,3,Yes,4,Yes,3,4,It sometimes goes off while using the internet. But it is okay.
2022/07/15 10:16:54 AM GMT+1,Delta,South South,Globacom,4G,Yes,5,Yes,5,Yes,4,4,Reliable and strong
2022/07/15 10:17:52 AM GMT+1,Ondo,South West,Airtel,4G,Yes,4,Yes,5,Yes,3,4,"Strong
Sometimes it goes on and off"
2022/07/15 12:44:48 PM GMT+1,Delta,South South,Airtel,3G,Yes,4,Yes,4,Yes,4,4,The quality is the best for me compared to other service providers.
2022/07/15 12:47:33 PM GMT+1,Delta,South South,MTN,3G,Yes,3,Yes,4,Yes,3,3,It's fairly good depending on the location you're at.
2022/07/15 12:56:55 PM GMT+1,Lagos,South West,MTN,3G,Yes,4,Yes,4,Yes,4,4,Very Good 
2022/07/15 4:28:07 PM GMT+1,Lagos,South West,MTN,4G,Yes,3,Yes,3,Yes,2,3,Fair
2022/07/15 5:00:40 PM GMT+1,Lagos,South West,Airtel,4G,Yes,4,Yes,5,Yes,5,4,"The service is fair, but consumes data a lot"
2022/07/15 5:08:38 PM GMT+1,Ogun,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,Good but not excellent 
2022/07/15 5:09:45 PM GMT+1,Ogun,South West,Airtel,4G,Yes,3,Yes,3,Yes,3,3,Good but not excellent 
2022/07/15 6:06:19 PM GMT+1,Lagos,South West,MTN,4G,Yes,3,Yes,4,Yes,3,3,It not very good 
2022/07/15 6:32:42 PM GMT+1,Ogun,South West,MTN,4G,Yes,3,Yes,4,Yes,3,3,The SIM's quality is average
2022/07/15 6:47:24 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,5,Yes,4,4,I think one of the major challenges is the high cost of data and consumption rate. It will be important if this can be addressed 
2022/07/15 7:45:53 PM GMT+1,Oyo,South West,MTN,4G,Yes,4,No,4,Yes,5,4,The quality of service is good but once in a while it does fluctuate especially whenever it’s rainy.
2022/07/15 9:03:25 PM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,4,5,"Very good
"
2022/07/16 7:00:33 AM GMT+1,Lagos,South West,Airtel,4G,Yes,4,Yes,4,Yes,4,3,The network works swiftly 
2022/07/16 8:10:22 AM GMT+1,Rivers,South South,MTN,4G,Yes,3,Yes,3,Yes,3,3,"Sometimes it's good. Not excellent, just okay. And sometimes it's terrible"
2022/07/16 9:17:44 AM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,3,3,I feel it's my device though but MTN is fair here
2022/07/16 9:26:05 AM GMT+1,Lagos,South West,Globacom,3G,Yes,3,Yes,3,Yes,4,3,Fair
2022/07/16 9:33:26 AM GMT+1,Ondo,South West,Globacom,4G,Yes,4,No,3,Yes,4,4,"It's actually ok.,but sometimes it can be a bit frustrating "
2022/07/16 9:55:01 AM GMT+1,Ondo,South West,Globacom,3G,No,,No,,Yes,4,4,"Globacom's quality of service where I live and work is quite good. I am able to browse the internet, watch videos and even take virtual meetings with it."
2022/07/16 9:57:48 AM GMT+1,Ondo,South West,9mobile,3G,Yes,3,Yes,3,Yes,1,2,"For calls and texts, 9mobile is not too bad. There are tines when I'm unable to use my sim for several days though. For internet browsing however, the quality of service is almost nothing to write home about. "
2022/07/16 9:58:20 AM GMT+1,Delta,South South,Globacom,4G,Yes,4,Yes,4,Yes,4,3,Straight forward 
2022/07/16 10:24:26 AM GMT+1,Ekiti,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,It okay
2022/07/16 10:56:08 AM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,4,Yes,5,3,"The Sim service (network operator) has nice and reliable network standby, along with an impressive data roaming speed and others. "
2022/07/16 11:06:14 AM GMT+1,Rivers,South South,MTN,4G,Yes,4,Yes,4,Yes,3,3,"It has been ok, though I'm using a phone that doesn't support 4g. "
2022/07/16 11:36:37 AM GMT+1,Oyo,South West,MTN,4G,Yes,3,Yes,3,Yes,2,3,"Amazing data plans, but the network is not strong enough in my area of residence."
2022/07/16 11:38:08 AM GMT+1,Delta,South South,Airtel,4G,Yes,3,Yes,4,Yes,4,3,The service is good but it has few network issues most of the times
2022/07/16 11:39:36 AM GMT+1,Delta,South South,Globacom,4G,Yes,2,Yes,3,Yes,2,2,The internet connection is poor
2022/07/16 11:42:19 AM GMT+1,Ondo,South West,MTN,4G,Yes,2,Yes,3,Yes,1,2,"Thing is, around FUTA the internet connection isn't as bad as in town, Oyarubule, orange fm side where you'll be getting a soak of 4kb/s from a 4G network smh"
2022/07/16 11:51:35 AM GMT+1,Ondo,South West,MTN,4G,No,3,Yes,4,Yes,3,3,It’s terrible
2022/07/16 11:52:25 AM GMT+1,Lagos,South West,Airtel,4G,Yes,5,Yes,5,Yes,4,5,Highly recommended
2022/07/16 12:17:29 PM GMT+1,Lagos,South West,MTN,5G,Yes,4,Yes,5,Yes,4,4,The service is manageable.
2022/07/16 12:24:15 PM GMT+1,Delta,South South,MTN,4G,Yes,4,Yes,4,Yes,4,4,Basically I'll give it a passmark. I actually believe my Globacom will be better at the cost of subscription but it's network isn't so very available especially during this rainy seasons. Thanks 👍
2022/07/16 12:48:27 PM GMT+1,Lagos,South West,Airtel,4G,Yes,3,Yes,3,Yes,4,3,They are trying their best.
2022/07/16 2:47:56 PM GMT+1,Lagos,South West,Globacom,1G,Yes,5,Yes,5,Yes,5,5,100% excellent.
2022/07/16 3:54:02 PM GMT+1,Oyo,South West,MTN,4G,Yes,,Yes,4,Yes,4,4,"Well, it's been the best so far. No problem and the network is very fast "
2022/07/16 4:18:25 PM GMT+1,Abuja,North Central,MTN,4G,Yes,5,Yes,5,Yes,4,3,MTN is just okay . It has served me adequately for about a decade now. They could improve in some areas however.
2022/07/17 5:31:20 AM GMT+1,Kwara,North Central,MTN,4G,Yes,4,Yes,4,Yes,5,4,It’s very strong but there are fluctuations from area to area
2022/07/18 12:02:04 AM GMT+1,Oyo,South West,MTN,3G,Yes,3,Yes,3,Yes,1,3,I experience a lot of Network Fluctuations in my area and it's so bad I stopped using it for data anymore. 
2022/07/18 12:04:22 AM GMT+1,Oyo,South West,Globacom,4G,Yes,4,Yes,4,Yes,3,4,They have a very good service however it fluctuates in my environment.
2022/07/18 4:11:27 AM GMT+1,Ogun,South West,MTN,3G,Yes,4,Yes,4,Yes,3,3,"I would say quite good, but most times the only difficulty I experience is with the internet connectivity. It's sometimes very slow. "
2022/07/21 4:31:59 PM GMT+1,Lagos,South West,MTN,4G,Yes,5,Yes,5,Yes,5,5,It is a good network.
2022/07/21 5:05:45 PM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,3,3,Impressive 
2022/07/21 6:49:18 PM GMT+1,Ogun,South West,Airtel,4G,Yes,4,Yes,2,Yes,3,3,"It's nice on average, but can(and should) get better with time and some more improvements"
2022/07/21 6:52:54 PM GMT+1,Ogun,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,"The quality of service is not very bad, it does the necessary and important things needed of it. "
2022/07/21 6:56:05 PM GMT+1,Ogun,South West,MTN,4G,Yes,3,Yes,3,Yes,3,3,Average 
2022/07/21 6:59:49 PM GMT+1,Lagos,South West,Airtel,4G,Yes,3,Yes,4,Yes,3,3,A lot of times it's quite fair. It's sometimes unreliable when it rains or when an upgrade is being done. But mostly it works well 
2022/07/21 7:00:01 PM GMT+1,Oyo,South West,MTN,4G,Yes,5,Yes,5,Yes,4,5,"The quality of my MTN sum is very good and reliable but when the weather is bad, the connectivity is not so good especially when I browse the internet. "
2022/07/21 7:02:18 PM GMT+1,Oyo,South West,Globacom,4G,Yes,4,Yes,4,Yes,3,3,GLO network coverage isn't so good in my area. Browsing the internet is really poor
2022/07/21 8:15:16 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,5,Yes,4,3,"Sim and service is good but it always depends on the area, there are some areas that network won't work and the rate at which data is being withdrawn is too high and annoying "
2022/07/21 8:31:04 PM GMT+1,Ogun,South West,MTN,3G,Yes,4,Yes,4,Yes,3,4,"It's less stressful, but sometimes the weather makes it's very bad(rainy days)."
2022/07/21 8:33:11 PM GMT+1,Ogun,South West,Globacom,3G,Yes,2,Yes,3,Yes,2,2,Mostly it's very bad 😭
2022/07/22 11:03:03 AM GMT+1,Ogun,South West,Globacom,4G,Yes,4,Yes,4,Yes,4,4,"It's not that bad ,but sometimes network fuck up ,it doesn't happen frequently but just once in a blue moon"
2022/07/22 3:15:01 PM GMT+1,Ondo,South West,MTN,4G,Yes,5,Yes,5,Yes,3,4,"Fairly average network and downloading speeds, not even up to half of the advertised expected speed.. but overall its decent enough for basic downloads and internet operations.. calls are clear and text messages go through. "
2022/07/22 4:28:28 PM GMT+1,Lagos,South West,MTN,4G,Yes,4,Yes,4,Yes,3,4,Great
2022/07/22 5:41:11 PM GMT+1,Ogun,South West,Airtel,4G,Yes,4,Yes,4,Yes,3,3,Get better 
2022/07/22 7:08:22 PM GMT+1,Ondo,South West,MTN,3G,Yes,4,Yes,4,Yes,4,4,It is good expect for data that finish quickly
2022/07/23 7:18:36 AM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,3,4,"MTN is actually very good in most circumstances but in my experience, it had made me lose some big opportunities but their is still better compared to Glo or Airtel. "
2022/07/23 7:20:32 AM GMT+1,Ondo,South West,Globacom,3G,Yes,3,Yes,5,Yes,3,3,Good and reliable but only on very important and big occasion they tend to Fuck up
2022/07/23 8:06:58 AM GMT+1,Ogun,South West,MTN,4G,Yes,3,Yes,4,Yes,3,4,Needs improvement
2022/07/23 8:19:43 AM GMT+1,Ogun,South West,Globacom,4G,Yes,2,Yes,3,Yes,2,2,Very bad service
2022/07/23 10:07:21 AM GMT+1,Oyo,South West,Airtel,3G,Yes,3,Yes,3,Yes,2,3,The network is stressing and annoying especially when you have important things to do online
2022/07/23 10:08:31 AM GMT+1,Delta,South South,MTN,4G,Yes,4,Yes,4,Yes,5,4,Good
2022/07/23 10:31:25 AM GMT+1,Abuja,North Central,MTN,4G,Yes,4,Yes,5,Yes,3,4,The network is sometimes poor
2022/07/23 10:35:53 AM GMT+1,Osun,South West,MTN,4G,Yes,3,Yes,3,Yes,3,4,The network is 💯 alright
2022/07/23 10:55:07 AM GMT+1,Lagos,South West,Airtel,4G,Yes,5,Yes,5,Yes,5,5,Airtel is the best network. I swear I've been using just one sim since 5years yeah. 
2022/07/23 11:19:11 AM GMT+1,Oyo,South West,Globacom,4G,Yes,2,Yes,3,Yes,2,3,"My user experience is dependent on my location, even within a location. Take for instance, I might have to leave my room for the kitchen because the network there would probably be better.
 It's so bad that you leave a chair in the sitting room  for another chair in that same sitting room, or you place your phone on your head to tap network..lol

It's a fact also that one network is better in a particular geographical location than the other. Take for instance, I'd prefer to use Glo in Ife and MTN in Ibadan because of where I stay in both places.

In all, the quality of service is frustrating, and the usage is expensive because it's data consuming "
2022/07/23 12:30:05 PM GMT+1,Oyo,South West,MTN,3G,Yes,3,Yes,3,Yes,3,3,It's a very good sim for browsing though it misbehaves after it might have rain..
2022/07/23 12:46:54 PM GMT+1,Oyo,South West,Airtel,3G,Yes,3,No,3,Yes,3,3,It's network is very good in calling but doesn't send messages to another phone..
2022/07/23 1:24:47 PM GMT+1,Kano,North West,MTN,4G,Yes,3,Yes,4,Yes,3,3,"Mtn sim sometimes lacks services and network here, especially in the midnight."
2022/07/23 2:14:13 PM GMT+1,Lagos,South West,Globacom,4G,Yes,5,Yes,5,Yes,5,4,I love Glo
2022/07/23 2:34:59 PM GMT+1,Lagos,South West,Airtel,3G,Yes,4,Yes,4,Yes,4,4,They are trying their best to meet up with their clients needs…
2022/07/23 5:32:55 PM GMT+1,Ogun,South West,MTN,4G,Yes,3,Yes,5,Yes,5,5,It’s actually okay no cap
2022/07/23 5:46:12 PM GMT+1,Oyo,South West,Globacom,4G,Yes,3,Yes,5,Yes,3,2,"Their service is just something else 
So annoying when you can't connect on time😐"
2022/07/23 6:01:53 PM GMT+1,Oyo,South West,MTN,4G,Yes,3,Yes,3,Yes,3,3,Fair
2022/07/23 6:40:08 PM GMT+1,Oyo,South West,Globacom,4G,Yes,3,No,,Yes,3,4,"I feel at ease using this sim, so am comfortable using it"
2022/07/23 6:43:29 PM GMT+1,Ondo,South West,MTN,4G,Yes,4,Yes,4,Yes,4,4,Never stop improving.
